id,clf,manual,nota
b0a5f4f0,CORRETO,CORRETO,disc avulsas
bddece48,CORRETO,CORRETO,ja sou aluno
6cfe3de2,CORRETO,ERRADO,nao aluna bolsa
23898c37,CORRETO,CORRETO,RA ja estuda
32a992f0,ERRADO,ERRADO,seg trabalho
7f64ae26,CORRETO,CORRETO,aluna ava
b87d0861,ERRADO,ERRADO,pretendo vest
57cf7675,ERRADO,ERRADO,transf grade
5cea34b5,ERRADO,ERRADO,pretendo fisio
c8e151ea,ERRADO,ERRADO,pos detalhes
21aef266,CORRETO,CORRETO,sou aluno
339c5333,CORRETO,CORRETO,ja aluna
2d372a89,CORRETO,ERRADO,prosp zoot
4d36164e,CORRETO,ERRADO,prosp boleto
3beec241,CORRETO,CORRETO,aluno pos
08ea14a6,ERRADO,ERRADO,prosp historia
27699def,CORRETO,CORRETO,trancar curso
ff3e14c0,CORRETO,ERRADO,prosp fono
3ab50c16,CORRETO,CORRETO,ja aluno
176a234e,ERRADO,ERRADO,valor agro
bf59bfab,CORRETO,CORRETO,atestado matricula
484c0b11,ERRADO,ERRADO,pretendo agro
1b32cc15,CORRETO,ERRADO,nao aluno disc isoladas
7772e705,CORRETO,CORRETO,ja aluna
e20c305f,ERRADO,CORRETO,ja sou aluna
ec33c46f,ERRADO,ERRADO,2grad
572ab462,CORRETO,ERRADO,candidata bolsa
c561b55b,CORRETO,CORRETO,novo aluno ava
4a2cfcdb,CORRETO,ERRADO,nao aluno
b1b0ea3f,CORRETO,ERRADO,candidato matricula
0b6bb488,ERRADO,ERRADO,pretendo tecnico
e5a783c0,ERRADO,ERRADO,info zoot
beb8d090,ERRADO,ERRADO,pretendo eng
a33c0a13,CORRETO,CORRETO,aluno ava doc
1ffa11f1,ERRADO,ERRADO,bio transf
f6280ffd,ERRADO,ERRADO,pretendo eng quim
9ef3cd39,ERRADO,ERRADO,info pos fisio
b80f72c4,ERRADO,ERRADO,valores
f77a1a27,ERRADO,ERRADO,pretendo nut
7254af4b,ERRADO,ERRADO,cotacao
cb6fb752,ERRADO,ERRADO,corretor
ebae6586,ERRADO,ERRADO,pretendo eng
7dfe25e7,ERRADO,ERRADO,preco vet
311c9f2b,CORRETO,CORRETO,aluno vestibular
47ba8aca,ERRADO,ERRADO,valor estetica transf
f4f9359f,ERRADO,ERRADO,pretendo vet
79567fd2,ERRADO,ERRADO,valores rh
386968e1,CORRETO,CORRETO,sou aluno
f0b4ee2d,ERRADO,ERRADO,ser aluno ed fis
b00c9de3,ERRADO,ERRADO,valor agro
506b5b7c,ERRADO,ERRADO,nao pretendo psico
c975cdfc,ERRADO,ERRADO,pretendo direito
01789c2b,ERRADO,ERRADO,pretendo tec enf
da280700,CORRETO,ERRADO,candidata matricula
6198d610,ERRADO,ERRADO,pretendo eng mec
9d89077a,CORRETO,ERRADO,nao aluno eng controle
ebf0a312,CORRETO,ERRADO,candidato transf
83902138,ERRADO,ERRADO,vest cc
374983a4,CORRETO,ERRADO,pretendo letras
52c06240,CORRETO,CORRETO,disc isolada
75e7b439,ERRADO,CORRETO,saber RA
835c1e2b,CORRETO,ERRADO,nao aluna transf
59fe6993,CORRETO,ERRADO,disc isolada nao aluno
18c17df0,CORRETO,CORRETO,ja aluna
ae85f8bf,ERRADO,ERRADO,pretendo tec
ef6a00db,CORRETO,CORRETO,ementas
9d551acd,ERRADO,ERRADO,valor ped
46f68377,CORRETO,CORRETO,aluno adm freq
29f0af1b,ERRADO,ERRADO,2grad zoot
aba806eb,ERRADO,ERRADO,valor ped araxa
4f3782e9,CORRETO,CORRETO,trancar aluno
8138b91e,CORRETO,CORRETO,ja aluna
986f3f9f,CORRETO,ERRADO,nao aluno mba
ad7c87b8,ERRADO,ERRADO,pretendo bio
46bd1770,CORRETO,CORRETO,ja aluna
e191d5eb,CORRETO,ERRADO,nao aluno trancou
5e1dd1e0,ERRADO,ERRADO,pretendo 2lic
5218b87e,CORRETO,CORRETO,ja aluno
f902edd1,CORRETO,CORRETO,ex aluno diploma
7c6e080e,ERRADO,ERRADO,valor fono
782e64b4,ERRADO,ERRADO,inj extensao
e7b7a9c2,CORRETO,CORRETO,sou aluno
5766da2a,CORRETO,ERRADO,nao aluna pos
90455581,ERRADO,ERRADO,pretendo tec
494f58c8,CORRETO,ERRADO,npj
030e68e9,ERRADO,CORRETO,aluna mkt digital
bf71580e,CORRETO,CORRETO,ja aluno
e5f8fcbb,CORRETO,ERRADO,candidata transf
9afcdfb5,CORRETO,ERRADO,cand transf
45b78502,CORRETO,ERRADO,cand transf
f66a3cd9,CORRETO,CORRETO,ja sou
9f7c9b2c,ERRADO,ERRADO,cand pos
f07b0577,CORRETO,ERRADO,ex formou prosp
06021a0a,ERRADO,ERRADO,colaborador
3c210bdf,ERRADO,ERRADO,valor gestao
6e84e5fc,ERRADO,CORRETO,doc estagio
e4e73590,ERRADO,ERRADO,pretendo nut
73352df5,ERRADO,ERRADO,publicidade
908f32a4,ERRADO,CORRETO,ex aluno
15f4fa0c,CORRETO,ERRADO,cand pix
44720356,CORRETO,CORRETO,ex aluna dip
753995f9,CORRETO,CORRETO,aluno
b9cc792c,CORRETO,CORRETO,aluno
d764a4dd,ERRADO,ERRADO,valor cc
f436b081,ERRADO,ERRADO,pretendo ti
a010ac48,ERRADO,ERRADO,pretendo rh
18a752a7,ERRADO,ERRADO,pretendo tec
96464c5c,ERRADO,ERRADO,mestrado prosp
b3987af7,ERRADO,CORRETO,ex aluna bolsa
3e9d5bf7,CORRETO,CORRETO,mba ex aluno
d5b94cd9,CORRETO,ERRADO,pretendo fisio
af74434e,CORRETO,CORRETO,ex historico
e7a6ee6c,CORRETO,CORRETO,aluna tranc
6cf686d7,CORRETO,CORRETO,aluna transf int
7bd9e371,CORRETO,CORRETO,reativar matric
a1dd06c7,ERRADO,CORRETO,aluna mensalidade
0a80ff2d,ERRADO,ERRADO,pretendo rh
d7476bb3,CORRETO,CORRETO,aluno agro mudanca
56017b57,ERRADO,ERRADO,valor letras
7f9906a4,CORRETO,CORRETO,ja aluno
238bcf40,CORRETO,ERRADO,ex 2grad
f863d657,ERRADO,ERRADO,decidi psico
f2a7070a,CORRETO,CORRETO,ja aluno modalidade
80b535b2,ERRADO,ERRADO,mba link
ec63417d,CORRETO,CORRETO,ex aluna hist
1b058e9d,ERRADO,ERRADO,2grad mat
59cafb0c,CORRETO,CORRETO,aluna docs
b068ca91,ERRADO,ERRADO,opcoes
5e0b629f,CORRETO,ERRADO,cand matricula
ee62cdca,CORRETO,CORRETO,ja aluno
3f8306af,ERRADO,ERRADO,pretendo ped
5768f89b,CORRETO,CORRETO,ja aluna
4806aaac,CORRETO,CORRETO,aluno nao atende
ef27e7b8,ERRADO,ERRADO,valor eng aut
0418ceca,ERRADO,CORRETO,aluno financeiro
